incoh_snr_xx,incoh_snr_yy,ctime,event_id,calibrator_name,calibrator_ra,calibrator_dec,ra,name,dec,hco_x,hco_y,hco_z,tau_xx,tau_yy,tau_no_iono_xx,tau_no_iono_yy,tec_xx,tec_yy,gps_tau_xx,gps_tau_yy,uncalibrated_snr_xx,uncaibrated_snr_yy,calibrated_snr_xx,caibrated_snr_yy,snr_xx,snr_yy,cal_snr_xx,cal_snr_yy,cal_incoh_snr_xx,cal_incoh_snr_yy,bw_00,bw_11,cal_snr_xx_masked,cal_snr_yy_masked,cal_incoh_snr_xx_masked,cal_incoh_snr_yy_masked,filename,x_cal,y_cal,x_tar,y_tar,delta_x,delta_y,pulsar_good_pos,tau_xx_ns,tau_yy_ns
,,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,59.72392881486245,B0355+54,54.22053695681744,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0015375000000380536,-0.000581874999960489,0.012377500000033851,0.007718125000036293,-2.3999999999994657,-2.69999999999947,0.0013200000000157114,-0.0003699999999848061,,,,,,,,,,,0,0,,,,,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/438913616/calibrated_bw_400_400_masked/B0355+54_calibrated_bw_400_400_masked_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,-0.5672489929372506,4.975094227938915,0.3700345526744647,-22.746841377550364,True,1.5375000000380536,-0.581874999960489
,,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,19.318315779166664,J0117+8928,89.47999330555555,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0005700000000264348,0.0006756250000229114,-0.011759999999968785,-0.020404374999968916,2.500000000000604,2.500000000000604,0.000450000000015445,0.0005500000000154756,,,,,,,,,,,0,0,,,,,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/438913616/calibrated_bw_400_400_masked/J0117+8928_calibrated_bw_400_400_masked_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,0.25721457696263067,40.35056524979605,1.194498122574346,12.62862964430677,True,0.5700000000264348,0.6756250000229114
,,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,59.7609996136667,J035902.6+600522,60.0894637845278,-2523643.44047669,-4123699.84440233,4147774.23913098,5.9375000034719155e-05,0.00014375000003332382,0.008709375000031366,0.0057237500000311605,-2.0999999999994614,-2.0999999999994614,0.0011400000000156563,0.0003400000000154113,,,,,,,,,,,0,0,,,,,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/438913616/calibrated_bw_400_400_masked/J035902.6+600522_calibrated_bw_400_400_masked_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,-0.515183655813002,10.843887323103722,0.4220998897987134,-16.878048282385556,True,0.059375000034719155,0.14375000003332383
,,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,59.873947,J0359+5057,50.96393385555556,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0015787500000334943,-0.00020687499996523834,0.008688750000030738,0.010183125000030734,-2.5999999999994685,-2.999999999999474,0.001590000000015794,-0.00019999999998475404,,,,,,,,,,,0,0,,,,,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/438913616/calibrated_bw_400_400_masked/J0359+5057_calibrated_bw_400_400_masked_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,-0.6983518561965875,1.7197746532952487,0.23893168941512788,-26.00216095219403,True,1.5787500000334944,-0.20687499996523834
,,1739694259.7342567,437574971,J0117+8928,19.318315779166664,89.47999330555555,148.697678690042,J095447.4+743557,74.599206971,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0032193750000281633,0.0014250000000292527,-0.005010624999968646,-0.0030449999999690143,1.4000000000005883,1.0000000000005826,0.0021700000000159717,0.00038000000001542356,,,,,,,,,,,0,0,,,,,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/437574971/calibrated_bw_400_400_masked/J095447.4+743557_calibrated_bw_400_400_masked_to_J0117+8928_vis.h5,0.3605242981069996,40.91152553789507,1.0375418679537562,25.18566901521975,0.6770175698467567,-15.725856522675322,True,3.219375000028163,1.4250000000292526
,,1739694259.7342567,437574971,J0117+8928,19.318315779166664,89.47999330555555,151.507292625708,J100601.7+345410,34.9028893364722,-2523643.44047669,-4123699.84440233,4147774.23913098,0.006418125000031466,0.0540693750000133,0.006788125000031323,0.008849375000030827,-0.29999999999943583,6.9000000000006665,0.004310000000016627,0.010260000000018449,,,,,,,,,,,0,0,,,,,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/437574971/calibrated_bw_400_400_masked/J100601.7+345410_calibrated_bw_400_400_masked_to_J0117+8928_vis.h5,0.3605242981069996,40.91152553789507,0.9445625726154487,-14.533779633675527,0.5840382745084491,-55.4453051715706,True,6.418125000031466,54.069375000013295
,,1739694259.7342567,437574971,J0117+8928,19.318315779166664,89.47999330555555,152.97573187499998,J1011+4204,42.07593759444445,-2523643.44047669,-4123699.84440233,4147774.23913098,0.003518125000031137,0.0017656250000316954,0.003518125000031137,0.0035556250000310014,5.684341886080801e-13,-0.39999999999943725,0.00458000000001671,0.0037300000000164493,,,,,,,,,,,0,0,,,,,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/437574971/calibrated_bw_400_400_masked/J1011+4204_calibrated_bw_400_400_masked_to_J0117+8928_vis.h5,0.3605242981069996,40.91152553789507,-0.2377376052212725,-7.368125335137429,-0.5982619033282721,-48.2796508730325,True,3.518125000031137,1.7656250000316953
,,1739694259.7342567,437574971,J0117+8928,19.318315779166664,89.47999330555555,152.52066956249996,J1010+4522,45.37296694444444,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0042743750000304205,-0.0020281249999677424,0.002894375000030955,0.0030218750000303,0.5000000000005755,-0.8999999999994444,0.004630000000016725,-0.0029999999999856114,,,,,,,,,,,0,0,,,,,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/437574971/calibrated_bw_400_400_masked/J1010+4522_calibrated_bw_400_400_masked_to_J0117+8928_vis.h5,0.3605242981069996,40.91152553789507,0.09331252882555212,-4.071383240688424,-0.26721176928144746,-44.9829087785835,True,4.27437500003042,-2.0281249999677424
,,1740788754.2171366,438909023,J030011.1+820239,45.0464033110417,82.0442644588333,46.6622707987083,J030638.9+820032,82.0090768146111,-2523643.44047669,-4123699.84440233,4147774.23913098,0.5142256250000312,0.5132506250000314,0.5142256250000312,0.5141506250000311,5.684341886080801e-13,-0.1999999999994344,0.04984000000003057,-0.0496599999999999,,,,,,,,,,,0,0,,,,,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/438909023/calibrated_bw_400_400_masked/J030638.9+820032_calibrated_bw_400_400_masked_to_J030011.1+820239_vis.h5,0.016297264990222698,32.82236487825676,-0.2080132728534116,32.788086993112536,-0.22431053784363428,-0.03427788514422048,True,514.2256250000312,513.2506250000314
,,1740788754.2171366,438909023,J030011.1+820239,45.0464033110417,82.0442644588333,46.13815588,B0301+19,19.54716433,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0033456250000344755,-0.0030537499999633774,0.017365625000029042,0.010886250000031218,-2.8999999999994728,-4.299999999999493,0.002380000000016036,-0.003109999999985645,,,,,,,,,,,0,0,,,,,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/438909023/calibrated_bw_400_400_masked/B0301+19_calibrated_bw_400_400_masked_to_J030011.1+820239_vis.h5,0.016297264990222698,32.82236487825676,-0.5718409745586865,-29.67296703152145,-0.5881382395489092,-62.4953319097782,False,3.3456250000344756,-3.0537499999633773
